Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
45-54,>35000,Family,Arab,Loyalty program user,Multiple/week,241.19,Breakfast,Weekends,Delivery App,2 people,7-15km,Fast Food,Mid-range,Downtown,Moderately sensitive,Probably yes,Neutral,Slightly important,15%,Switch to delivery in heat,"Apr-Jun, Jan-Mar",4,"Crowded restaurants, Long delivery time","Real-time pricing, Group dining deals, Personalised discounts",Medium,0.98,,241.19,236.37,2.0,7.2,23.0,4,Yes
18-24,<5000,Tourist,African,Few regulars,2-3/month,35.87,Lunch,Both,Delivery App,Alone,3-7km,Arabic,Depends on occasion,Deira,Moderately sensitive,Probably yes,Neutral,Extremely important,15%,Outdoor dining in pleasant weather,"Apr-Jun, Jul-Sep, Jan-Mar",5,Long wait times,"Real-time pricing, Group dining deals, Personalised discounts, Low-demand discounts",Medium,0.99,,35.87,35.51,1.0,4.6,25.0,5,Yes
18-24,5000-10000,Professional,East Asian,Loyalty program user,Rarely,48.51,Dinner,Weekends,Delivery App,2 people,3-7km,Western,Budget/Casual,Downtown,Moderately sensitive,Maybe,Very fair,Slightly important,20%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jan-Mar",3,"Long delivery time, Unpredictable pricing, High weekend prices","Group dining deals, Real-time pricing, Low-demand discounts",High,1.17,,48.51,56.76,0.0,6.0,26.0,3,Yes
35-44,10001-20000,Family,East Asian,Loyal to 1-2,2-3/month,105.97,Dinner,Weekends,Delivery App,3-4 people,7-15km,Healthy/Vegan,Budget/Casual,Mall,Slightly sensitive,Maybe,Unfair,Slightly important,>20%,Dine-in more during heat,"Oct-Dec, Jan-Mar",3,"Unpredictable pricing, High delivery fees","Low-demand discounts, Loyalty rewards",High,1.2,,105.97,127.16,0.0,14.8,54.0,3,No
25-34,<5000,Tourist,South Asian,Explorer,2-3/month,24.82,Breakfast,Weekdays,Dine-in,2 people,7-15km,Indian/Pakistani,Budget/Casual,Business Bay,Not sensitive,Maybe,Very unfair,Moderately important,5%,Switch to delivery in heat,Oct-Dec,5,"Crowded restaurants, Long delivery time, High delivery fees, Hard to find tables","Group dining deals, Real-time pricing, Loyalty rewards",Medium,0.87,49.3,24.82,21.59,13.0,,,5,No
45-54,20001-35000,Family,South Asian,Loyal to 1-2,Multiple/week,228.17,Breakfast,Both,Dine-in,3-4 people,7-15km,Indian/Pakistani,Mid-range,DIFC,Moderately sensitive,Probably yes,Very unfair,Slightly important,20%,Outdoor dining in pleasant weather,"Oct-Dec, Apr-Jun, Jan-Mar",5,"Long wait times, Hard to find tables, Long delivery time","Table availability, Demand alerts, Low-demand discounts, Group dining deals",Medium,1.08,65.7,228.17,246.42,0.0,,,5,Yes
25-34,10001-20000,Family,Western Expat,Few regulars,Rarely,146.14,Late Night,Weekends,Dine-in,3-4 people,3-7km,Healthy/Vegan,Depends on occasion,Mall,Moderately sensitive,Definitely yes,Very fair,Moderately important,15%,Switch to delivery in heat,"Apr-Jun, Jan-Mar, Oct-Dec",5,"Limited discounts, Hard to find tables, Long wait times, High weekend prices","Group dining deals, Real-time pricing, Wait time estimate, Low-demand discounts",High,1.24,87.0,146.14,181.21,0.0,,,5,Yes
25-34,10001-20000,Professional,Western Expat,Few regulars,Once/week,102.2,Dinner,Weekends,Delivery App,3-4 people,3-7km,Arabic,Budget/Casual,DIFC,Moderately sensitive,Definitely yes,Unfair,Extremely important,20%,Switch to delivery in heat,Jan-Mar,3,"Long wait times, Hard to find tables, High delivery fees","Table availability, Loyalty rewards, Real-time pricing",High,1.21,,102.2,123.66,0.0,5.5,28.0,3,Yes
25-34,20001-35000,Professional,East Asian,Loyalty program user,Once/month,139.88,Dinner,Both,Restaurant App,2 people,3-7km,Western,Mid-range,Deira,Very sensitive,Definitely yes,Somewhat fair,Extremely important,20%,Outdoor dining in pleasant weather,Oct-Dec,5,"Hard to find tables, Limited discounts",Wait time estimate,High,1.27,,139.88,177.65,0.0,3.9,24.0,5,Yes
35-44,<5000,Family,South Asian,Loyal to 1-2,2-3/month,57.39,Dinner,Both,Delivery App,3-4 people,3-7km,Indian/Pakistani,Depends on occasion,Deira,Very sensitive,Definitely yes,Somewhat fair,Very important,>20%,No impact,"Jan-Mar, Apr-Jun, Oct-Dec",4,"Limited discounts, Hard to find tables","Low-demand discounts, Wait time estimate",High,1.21,,57.39,69.44,0.0,3.2,23.0,4,Yes
45-54,20001-35000,Family,Arab,Loyalty program user,Once/month,326.59,Breakfast,Weekdays,Dine-in,3-4 people,3-7km,Indian/Pakistani,Premium/Fine Dining,Marina,Moderately sensitive,Definitely yes,Very unfair,Very important,15%,No impact,"Oct-Dec, Jan-Mar, Apr-Jun",4,Limited discounts,"Personalised discounts, Table availability",Medium,1.05,48.9,326.59,342.92,0.0,,,4,No
25-34,10001-20000,Professional,Arab,Loyal to 1-2,2-3/month,223.17,Late Night,Both,Delivery App,3-4 people,3-7km,Indian/Pakistani,Premium/Fine Dining,JBR,Moderately sensitive,Maybe,Very fair,Extremely important,10%,Switch to delivery in heat,Apr-Jun,3,"Long wait times, High weekend prices, Long delivery time","Group dining deals, Loyalty rewards, Personalised discounts",Medium,1.17,,223.17,261.11,0.0,3.0,14.0,3,No
18-24,5000-10000,Professional,African,Explorer,Once/week,56.26,Late Night,Both,Delivery App,3-4 people,<3km,Western,Budget/Casual,DIFC,Slightly sensitive,Maybe,Very unfair,Moderately important,10%,Outdoor dining in pleasant weather,"Jul-Sep, Jan-Mar",3,"Limited discounts, Long delivery time",Real-time pricing,High,1.06,,56.26,59.64,0.0,1.6,21.0,3,Yes
25-34,5000-10000,Professional,Western Expat,Loyal to 1-2,Multiple/week,56.12,Late Night,Both,Takeaway,2 people,7-15km,Healthy/Vegan,Mid-range,Deira,Not sensitive,Definitely not,Unfair,Slightly important,15%,Dine-in more during heat,"Oct-Dec, Jul-Sep, Jan-Mar",4,"Long delivery time, Long wait times, Crowded restaurants","Loyalty rewards, Personalised discounts, Table availability, Wait time estimate",High,1.4,,56.12,92.6,0.0,9.4,36.0,4,No
18-24,<5000,Student,Western Expat,Few regulars,Once/month,39.14,Lunch,Weekends,Delivery App,3-4 people,3-7km,Healthy/Vegan,Budget/Casual,Mall,Very sensitive,Probably yes,Neutral,Extremely important,>20%,No impact,Oct-Dec,1,"Long delivery time, Limited discounts","Group dining deals, Personalised discounts, Demand alerts, Table availability",Medium,0.99,,39.14,38.75,1.0,6.8,30.0,1,No
25-34,20001-35000,Professional,Western Expat,Explorer,2-3/month,125.5,Breakfast,Both,Delivery App,2 people,<3km,Western,Mid-range,Marina,Slightly sensitive,Definitely not,Neutral,Slightly important,10%,Switch to delivery in heat,"Apr-Jun, Oct-Dec",5,"Long delivery time, Unpredictable pricing, Limited discounts, High delivery fees","Loyalty rewards, Demand alerts, Real-time pricing",Medium,0.98,,125.5,122.99,2.0,1.3,20.0,5,No
35-44,20001-35000,Family,South Asian,Loyalty program user,Once/week,114.85,Breakfast,Both,Delivery App,Alone,7-15km,Indian/Pakistani,Depends on occasion,Deira,Very sensitive,Probably yes,Neutral,Extremely important,20%,Switch to delivery in heat,"Apr-Jun, Jul-Sep",3,"Hard to find tables, High delivery fees, Crowded restaurants","Loyalty rewards, Demand alerts, Low-demand discounts",Medium,0.95,,114.85,109.11,5.0,7.2,37.0,3,Yes
45-54,>35000,Tourist,South Asian,Explorer,Multiple/week,116.57,Lunch,Weekends,Delivery App,Alone,3-7km,Asian,Mid-range,Downtown,Slightly sensitive,Probably not,Neutral,Moderately important,15%,Switch to delivery in heat,Oct-Dec,3,"Limited discounts, High weekend prices, Hard to find tables",Low-demand discounts,Medium,0.96,,116.57,111.91,4.0,3.7,25.0,3,Yes
25-34,<5000,Professional,African,Loyal to 1-2,2-3/month,38.19,Dinner,Both,Dine-in,2 people,>15km,Indian/Pakistani,Mid-range,Deira,Moderately sensitive,Probably yes,Neutral,Extremely important,15%,Switch to delivery in heat,"Oct-Dec, Jul-Sep",4,"Long wait times, Limited discounts",Table availability,High,1.13,93.9,38.19,43.15,0.0,,,4,No
18-24,5000-10000,Student,East Asian,Few regulars,2-3/month,44.19,Dinner,Weekends,Delivery App,2 people,<3km,Asian,Budget/Casual,Deira,Very sensitive,Probably yes,Very fair,Very important,>20%,Outdoor dining in pleasant weather,"Oct-Dec, Apr-Jun, Jan-Mar",3,"Long wait times, High delivery fees, Crowded restaurants, Hard to find tables","Low-demand discounts, Personalised discounts",High,1.21,,44.19,53.47,0.0,1.6,21.0,3,Yes
18-24,5000-10000,Professional,South Asian,Loyal to 1-2,Once/month,70.86,Breakfast,Weekends,Delivery App,3-4 people,7-15km,Indian/Pakistani,Mid-range,JBR,Moderately sensitive,Probably yes,Very fair,Extremely important,15%,Switch to delivery in heat,Apr-Jun,1,"Crowded restaurants, Limited discounts",Table availability,Medium,0.95,,70.86,67.32,5.0,11.5,42.0,1,Yes
18-24,<5000,Student,African,Few regulars,Rarely,44.73,Dinner,Both,Dine-in,3-4 people,<3km,Fast Food,Budget/Casual,Deira,Moderately sensitive,Definitely yes,Neutral,Very important,20%,Switch to delivery in heat,Jan-Mar,5,"High delivery fees, Limited discounts, Long wait times","Low-demand discounts, Real-time pricing, Personalised discounts",High,1.18,75.4,44.73,52.78,0.0,,,5,No
45-54,10001-20000,Professional,South Asian,Loyal to 1-2,Once/week,543.04,Breakfast,Both,Delivery App,3-4 people,3-7km,Asian,Premium/Fine Dining,DIFC,Not sensitive,Maybe,Unfair,Slightly important,5%,Switch to delivery in heat,Oct-Dec,3,"High delivery fees, Long delivery time, High weekend prices, Crowded restaurants",Low-demand discounts,Medium,1.08,,543.04,586.48,0.0,5.0,24.0,3,Yes
25-34,5000-10000,Professional,Arab,Few regulars,Multiple/week,63.44,Breakfast,Weekdays,Takeaway,2 people,3-7km,Healthy/Vegan,Budget/Casual,Deira,Moderately sensitive,Definitely not,Neutral,Moderately important,20%,Outdoor dining in pleasant weather,"Apr-Jun, Jul-Sep",1,"Long wait times, Hard to find tables, High weekend prices","Loyalty rewards, Wait time estimate, Real-time pricing",Low,0.8,,63.44,50.75,20.0,3.7,30.0,1,Yes
55+,>35000,Family,South Asian,Loyalty program user,2-3/month,543.67,Breakfast,Weekends,Dine-in,3-4 people,<3km,Asian,Premium/Fine Dining,Marina,Not sensitive,Maybe,Very unfair,Not important,15%,No impact,"Oct-Dec, Jan-Mar, Jul-Sep",4,"Long wait times, High delivery fees, High weekend prices, Unpredictable pricing","Personalised discounts, Group dining deals, Wait time estimate, Loyalty rewards",Medium,1.13,45.6,543.67,614.35,0.0,,,4,Yes
18-24,<5000,Professional,South Asian,Few regulars,Once/week,43.38,Dinner,Both,Delivery App,2 people,<3km,Indian/Pakistani,Depends on occasion,Deira,Very sensitive,Probably not,Very unfair,Extremely important,>20%,Dine-in more during heat,Jan-Mar,4,"Hard to find tables, Limited discounts, Long wait times, Long delivery time","Real-time pricing, Demand alerts, Table availability, Low-demand discounts",High,1.25,,43.38,54.22,0.0,1.2,24.0,4,No
25-34,20001-35000,Professional,Arab,Loyal to 1-2,2-3/month,160.64,Late Night,Weekdays,Delivery App,2 people,<3km,Arabic,Mid-range,Business Bay,Not sensitive,Probably yes,Somewhat fair,Slightly important,5%,No impact,"Oct-Dec, Jan-Mar, Jul-Sep",5,Limited discounts,"Personalised discounts, Table availability, Real-time pricing, Group dining deals",Medium,0.94,,160.64,151.0,6.0,2.2,20.0,5,Yes
35-44,10001-20000,Family,Arab,Loyal to 1-2,2-3/month,294.27,Dinner,Both,Takeaway,5+,<3km,Healthy/Vegan,Premium/Fine Dining,DIFC,Very sensitive,Probably yes,Somewhat fair,Very important,>20%,Switch to delivery in heat,Jul-Sep,4,"Long delivery time, Crowded restaurants","Loyalty rewards, Personalised discounts, Real-time pricing, Demand alerts",Medium,1.1,,294.27,323.7,0.0,1.8,23.0,4,Yes
25-34,10001-20000,Family,South Asian,Loyal to 1-2,2-3/month,164.78,Late Night,Both,Delivery App,5+,7-15km,Healthy/Vegan,Depends on occasion,Business Bay,Very sensitive,Definitely yes,Neutral,Very important,>20%,Switch to delivery in heat,"Oct-Dec, Jul-Sep",5,"Limited discounts, Hard to find tables",Demand alerts,High,1.3,,164.78,214.21,0.0,14.9,54.0,5,Yes
18-24,<5000,Student,South Asian,Few regulars,Rarely,18.64,Late Night,Both,Dine-in,Alone,<3km,Western,Budget/Casual,Deira,Very sensitive,Definitely not,Unfair,Moderately important,15%,Switch to delivery in heat,"Jul-Sep, Jan-Mar, Oct-Dec",4,Long wait times,"Group dining deals, Low-demand discounts, Loyalty rewards",High,1.23,50.4,18.64,22.93,0.0,,,4,Yes
35-44,10001-20000,Professional,South Asian,Few regulars,2-3/month,71.62,Dinner,Weekends,Takeaway,Alone,3-7km,Western,Budget/Casual,JBR,Moderately sensitive,Probably yes,Unfair,Very important,15%,Dine-in more during heat,"Oct-Dec, Jan-Mar, Jul-Sep",4,"Unpredictable pricing, Long delivery time, High weekend prices, Hard to find tables",Wait time estimate,High,1.13,,71.62,80.93,0.0,5.1,30.0,4,No
25-34,>35000,Professional,Arab,Loyal to 1-2,Multiple/week,266.19,Late Night,Weekends,Delivery App,Alone,<3km,Asian,Premium/Fine Dining,Downtown,Not sensitive,Definitely not,Somewhat fair,Slightly important,5%,Switch to delivery in heat,"Jan-Mar, Apr-Jun, Jul-Sep",3,"Unpredictable pricing, Crowded restaurants","Table availability, Personalised discounts",High,1.4,,266.19,372.67,0.0,3.0,20.0,3,Yes
55+,10001-20000,Family,South Asian,Explorer,Once/week,176.8,Breakfast,Weekdays,Delivery App,5+,7-15km,Fast Food,Depends on occasion,Marina,Very sensitive,Probably yes,Somewhat fair,Moderately important,15%,No impact,"Oct-Dec, Jan-Mar, Apr-Jun",3,"Long delivery time, Unpredictable pricing, Crowded restaurants","Table availability, Group dining deals",Medium,1.08,,176.8,190.94,0.0,11.3,34.0,3,Yes
18-24,<5000,Student,South Asian,Few regulars,2-3/month,36.47,Late Night,Weekdays,Delivery App,2 people,3-7km,Healthy/Vegan,Budget/Casual,Mall,Very sensitive,Definitely yes,Somewhat fair,Very important,10%,Dine-in more during heat,"Jan-Mar, Oct-Dec, Apr-Jun",5,Crowded restaurants,"Loyalty rewards, Low-demand discounts",Medium,0.9,,36.47,32.82,10.0,5.4,21.0,5,Yes
25-34,5000-10000,Professional,South Asian,Few regulars,Multiple/week,65.1,Dinner,Weekends,Delivery App,3-4 people,3-7km,Indian/Pakistani,Budget/Casual,Deira,Moderately sensitive,Probably not,Unfair,Extremely important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec, Jul-Sep",3,"Unpredictable pricing, High weekend prices, High delivery fees, Long delivery time",Real-time pricing,High,1.17,,65.1,76.17,0.0,6.1,27.0,3,Yes
25-34,10001-20000,Family,South Asian,Few regulars,2-3/month,105.7,Dinner,Both,Takeaway,5+,3-7km,Indian/Pakistani,Budget/Casual,Business Bay,Moderately sensitive,Probably yes,Very unfair,Very important,5%,Switch to delivery in heat,Jan-Mar,3,"Unpredictable pricing, Limited discounts, Crowded restaurants","Personalised discounts, Loyalty rewards, Demand alerts",High,1.08,,105.7,114.16,0.0,3.2,16.0,3,No
25-34,10001-20000,Tourist,Arab,Explorer,Once/month,118.69,Lunch,Both,Delivery App,2 people,3-7km,Arabic,Depends on occasion,JBR,Very sensitive,Maybe,Unfair,Very important,15%,Switch to delivery in heat,"Jan-Mar, Apr-Jun, Oct-Dec",4,"High weekend prices, High delivery fees, Limited discounts","Low-demand discounts, Personalised discounts, Demand alerts, Wait time estimate",Medium,1.01,,118.69,119.88,0.0,5.3,31.0,4,Yes
18-24,5000-10000,Professional,Western Expat,Few regulars,Multiple/week,33.71,Dinner,Both,Delivery App,Alone,<3km,Healthy/Vegan,Mid-range,JBR,Very sensitive,Definitely yes,Neutral,Moderately important,>20%,Switch to delivery in heat,Oct-Dec,3,"Long wait times, Long delivery time, Hard to find tables, Crowded restaurants","Personalised discounts, Low-demand discounts, Demand alerts",High,1.2,,33.71,40.45,0.0,2.6,26.0,3,Yes
35-44,10001-20000,Professional,Arab,Few regulars,2-3/month,269.87,Dinner,Both,Dine-in,5+,3-7km,Arabic,Premium/Fine Dining,Marina,Very sensitive,Probably yes,Somewhat fair,Very important,20%,Outdoor dining in pleasant weather,"Oct-Dec, Jul-Sep, Jan-Mar",4,"High weekend prices, High delivery fees","Wait time estimate, Personalised discounts",High,1.31,74.7,269.87,353.53,0.0,,,4,Yes
25-34,10001-20000,Professional,Arab,Loyal to 1-2,Once/month,113.63,Dinner,Both,Delivery App,Alone,3-7km,Arabic,Depends on occasion,JBR,Slightly sensitive,Definitely yes,Neutral,Not important,15%,Outdoor dining in pleasant weather,Jan-Mar,4,"High weekend prices, High delivery fees, Unpredictable pricing, Hard to find tables","Table availability, Wait time estimate, Low-demand discounts",High,1.18,,113.63,134.08,0.0,3.8,28.0,4,Yes
25-34,10001-20000,Tourist,South Asian,Explorer,Once/week,69.44,Lunch,Weekends,Delivery App,2 people,7-15km,Fast Food,Budget/Casual,Marina,Moderately sensitive,Probably not,Very unfair,Extremely important,15%,No impact,"Jan-Mar, Oct-Dec, Apr-Jun",4,"Unpredictable pricing, Long delivery time, Crowded restaurants, Long wait times",Table availability,Medium,0.97,,69.44,67.36,3.0,12.4,47.0,4,Yes
25-34,10001-20000,Professional,Western Expat,Loyal to 1-2,Once/week,127.33,Lunch,Weekdays,Delivery App,Alone,<3km,Western,Premium/Fine Dining,Business Bay,Moderately sensitive,Definitely not,Unfair,Moderately important,20%,Switch to delivery in heat,"Jul-Sep, Oct-Dec",3,"Long wait times, High weekend prices, Long delivery time, High delivery fees","Wait time estimate, Group dining deals",Medium,1.1,,127.33,140.06,0.0,3.0,29.0,3,No
25-34,<5000,Professional,East Asian,Explorer,Once/week,29.96,Dinner,Weekends,Takeaway,2 people,7-15km,Asian,Budget/Casual,Deira,Very sensitive,Maybe,Unfair,Very important,>20%,No impact,"Oct-Dec, Jul-Sep, Apr-Jun",4,"Long delivery time, High weekend prices",Wait time estimate,High,1.2,,29.96,35.95,0.0,11.9,45.0,4,No
18-24,5000-10000,Professional,South Asian,Loyal to 1-2,Multiple/week,48.31,Lunch,Both,Dine-in,Alone,<3km,Indian/Pakistani,Budget/Casual,Marina,Moderately sensitive,Maybe,Unfair,Extremely important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec, Apr-Jun",4,"Hard to find tables, High delivery fees",Group dining deals,Medium,0.92,54.4,48.31,44.45,8.0,,,4,Yes
45-54,10001-20000,Family,South Asian,Loyal to 1-2,Multiple/week,120.67,Dinner,Weekends,Takeaway,3-4 people,3-7km,Indian/Pakistani,Depends on occasion,Deira,Very sensitive,Definitely yes,Very fair,Very important,15%,Switch to delivery in heat,"Jul-Sep, Oct-Dec",5,"Crowded restaurants, High weekend prices, Long delivery time",Table availability,High,1.16,,120.67,139.98,0.0,6.9,35.0,5,Yes
35-44,20001-35000,Professional,Western Expat,Loyal to 1-2,Once/month,135.29,Late Night,Both,Dine-in,Alone,3-7km,Arabic,Mid-range,Downtown,Not sensitive,Definitely yes,Very unfair,Slightly important,10%,Dine-in more during heat,"Apr-Jun, Oct-Dec",5,"Long delivery time, High weekend prices","Real-time pricing, Group dining deals, Table availability, Demand alerts",High,1.14,78.8,135.29,154.23,0.0,,,5,No
55+,20001-35000,Professional,Arab,Loyalty program user,Multiple/week,181.79,Dinner,Both,Dine-in,2 people,<3km,Arabic,Depends on occasion,JBR,Moderately sensitive,Definitely yes,Very unfair,Moderately important,10%,Switch to delivery in heat,"Apr-Jun, Jul-Sep",5,High delivery fees,Low-demand discounts,Medium,0.99,61.4,181.79,179.97,1.0,,,5,No
35-44,10001-20000,Family,Western Expat,Loyal to 1-2,2-3/month,169.04,Dinner,Weekends,Dine-in,5+,7-15km,Arabic,Depends on occasion,Marina,Moderately sensitive,Maybe,Very fair,Moderately important,15%,Outdoor dining in pleasant weather,Jul-Sep,2,"Long wait times, Unpredictable pricing, Hard to find tables",Table availability,Medium,1.04,67.9,169.04,175.8,0.0,,,2,Yes
35-44,10001-20000,Professional,South Asian,Few regulars,2-3/month,140.0,Dinner,Both,Dine-in,3-4 people,3-7km,Fast Food,Depends on occasion,JBR,Not sensitive,Maybe,Very fair,Slightly important,10%,No impact,"Jul-Sep, Jan-Mar",4,"High weekend prices, Long wait times","Loyalty rewards, Group dining deals, Personalised discounts",High,1.21,99.5,140.0,169.4,0.0,,,4,Yes
35-44,20001-35000,Professional,East Asian,Loyalty program user,Once/week,126.63,Lunch,Weekends,Dine-in,2 people,3-7km,Asian,Mid-range,DIFC,Not sensitive,Probably not,Very fair,Very important,5%,Switch to delivery in heat,Oct-Dec,4,"High delivery fees, Unpredictable pricing, High weekend prices, Crowded restaurants",Loyalty rewards,Medium,1.01,47.6,126.63,127.9,0.0,,,4,No
